"DistinguishedName","Name","SID","RID","Type","IsBuiltin","DomainName","DomainFqdn"
"CN=Distributed COM Users,CN=Builtin,DC=vale,DC=net","Distributed COM Users","S-1-5-32-562","562","group","True","vale","vale.net"
"CN=IIS_IUSRS,CN=Builtin,DC=vale,DC=net","IIS_IUSRS","S-1-5-32-568","568","group","True","vale","vale.net"
"CN=Cryptographic Operators,CN=Builtin,DC=vale,DC=net","Cryptographic Operators","S-1-5-32-569","569","group","True","vale","vale.net"
"CN=Event Log Readers,CN=Builtin,DC=vale,DC=net","Event Log Readers","S-1-5-32-573","573","group","True","vale","vale.net"
"CN=Certificate Service DCOM Access,CN=Builtin,DC=vale,DC=net","Certificate Service DCOM Access","S-1-5-32-574","574","group","True","vale","vale.net"
"CN=RDS Remote Access Servers,CN=Builtin,DC=vale,DC=net","RDS Remote Access Servers","S-1-5-32-575","575","group","True","vale","vale.net"
"CN=RDS Endpoint Servers,CN=Builtin,DC=vale,DC=net","RDS Endpoint Servers","S-1-5-32-576","576","group","True","vale","vale.net"
"CN=RDS Management Servers,CN=Builtin,DC=vale,DC=net","RDS Management Servers","S-1-5-32-577","577","group","True","vale","vale.net"
"CN=Hyper-V Administrators,CN=Builtin,DC=vale,DC=net","Hyper-V Administrators","S-1-5-32-578","578","group","True","vale","vale.net"
"CN=Access Control Assistance Operators,CN=Builtin,DC=vale,DC=net","Access Control Assistance Operators","S-1-5-32-579","579","group","True","vale","vale.net"
"CN=Remote Management Users,CN=Builtin,DC=vale,DC=net","Remote Management Users","S-1-5-32-580","580","group","True","vale","vale.net"
"CN=Storage Replica Administrators,CN=Builtin,DC=vale,DC=net","Storage Replica Administrators","S-1-5-32-582","582","group","True","vale","vale.net"
"CN=Administrator,CN=Users,DC=vale,DC=net","Administrator","S-1-5-21-1404467377-1250967746-1241328025-500","500","user","True","vale","vale.net"
"CN=Guest,CN=Users,DC=vale,DC=net","Guest","S-1-5-21-1404467377-1250967746-1241328025-501","501","user","True","vale","vale.net"
"CN=krbtgt,CN=Users,DC=vale,DC=net","krbtgt","S-1-5-21-1404467377-1250967746-1241328025-502","502","user","True","vale","vale.net"
"CN=Domain Admins,CN=Users,DC=vale,DC=net","Domain Admins","S-1-5-21-1404467377-1250967746-1241328025-512","512","group","True","vale","vale.net"
"CN=Domain Users,CN=Users,DC=vale,DC=net","Domain Users","S-1-5-21-1404467377-1250967746-1241328025-513","513","group","True","vale","vale.net"
"CN=Domain Guests,CN=Users,DC=vale,DC=net","Domain Guests","S-1-5-21-1404467377-1250967746-1241328025-514","514","group","True","vale","vale.net"
"CN=Domain Computers,CN=Users,DC=vale,DC=net","Domain Computers","S-1-5-21-1404467377-1250967746-1241328025-515","515","group","True","vale","vale.net"
"CN=Domain Controllers,CN=Users,DC=vale,DC=net","Domain Controllers","S-1-5-21-1404467377-1250967746-1241328025-516","516","group","True","vale","vale.net"
"CN=Cert Publishers,CN=Users,DC=vale,DC=net","Cert Publishers","S-1-5-21-1404467377-1250967746-1241328025-517","517","group","True","vale","vale.net"
"CN=Group Policy Creator Owners,CN=Users,DC=vale,DC=net","Group Policy Creator Owners","S-1-5-21-1404467377-1250967746-1241328025-520","520","group","True","vale","vale.net"
"CN=Read-only Domain Controllers,CN=Users,DC=vale,DC=net","Read-only Domain Controllers","S-1-5-21-1404467377-1250967746-1241328025-521","521","group","True","vale","vale.net"
"CN=Cloneable Domain Controllers,CN=Users,DC=vale,DC=net","Cloneable Domain Controllers","S-1-5-21-1404467377-1250967746-1241328025-522","522","group","True","vale","vale.net"
"CN=Protected Users,CN=Users,DC=vale,DC=net","Protected Users","S-1-5-21-1404467377-1250967746-1241328025-525","525","group","True","vale","vale.net"
"CN=Key Admins,CN=Users,DC=vale,DC=net","Key Admins","S-1-5-21-1404467377-1250967746-1241328025-526","526","group","True","vale","vale.net"
"CN=RAS and IAS Servers,CN=Users,DC=vale,DC=net","RAS and IAS Servers","S-1-5-21-1404467377-1250967746-1241328025-553","553","group","True","vale","vale.net"
"CN=Allowed RODC Password Replication Group,CN=Users,DC=vale,DC=net","Allowed RODC Password Replication Group","S-1-5-21-1404467377-1250967746-1241328025-571","571","group","True","vale","vale.net"
"CN=Denied RODC Password Replication Group,CN=Users,DC=vale,DC=net","Denied RODC Password Replication Group","S-1-5-21-1404467377-1250967746-1241328025-572","572","group","True","vale","vale.net"
"CN=Enterprise Read-only Domain Controllers,CN=Users,DC=vale,DC=net","Enterprise Read-only Domain Controllers","S-1-5-21-1404467377-1250967746-1241328025-498","498","group","True","vale","vale.net"
"CN=Schema Admins,CN=Users,DC=vale,DC=net","Schema Admins","S-1-5-21-1404467377-1250967746-1241328025-518","518","group","True","vale","vale.net"
"CN=Enterprise Admins,CN=Users,DC=vale,DC=net","Enterprise Admins","S-1-5-21-1404467377-1250967746-1241328025-519","519","group","True","vale","vale.net"
"CN=Enterprise Key Admins,CN=Users,DC=vale,DC=net","Enterprise Key Admins","S-1-5-21-1404467377-1250967746-1241328025-527","527","group","True","vale","vale.net"
"CN=devadmin,CN=Users,DC=vale,DC=net","devadmin","S-1-5-21-1404467377-1250967746-1241328025-1000","1000","user","False","vale","vale.net"
