"DistinguishedName","Name","SID","RID","Type","IsBuiltin","DomainName","DomainFqdn"
"CN=Domain Admins,CN=Users,DC=kingslanding,DC=net","Domain Admins","S-1-5-21-740273710-242295789-2164128082-512","512","group","True","kingslanding","kingslanding.net"
"CN=Domain Users,CN=Users,DC=kingslanding,DC=net","Domain Users","S-1-5-21-740273710-242295789-2164128082-513","513","group","True","kingslanding","kingslanding.net"
"CN=Domain Guests,CN=Users,DC=kingslanding,DC=net","Domain Guests","S-1-5-21-740273710-242295789-2164128082-514","514","group","True","kingslanding","kingslanding.net"
"CN=Domain Computers,CN=Users,DC=kingslanding,DC=net","Domain Computers","S-1-5-21-740273710-242295789-2164128082-515","515","group","True","kingslanding","kingslanding.net"
"CN=Domain Controllers,CN=Users,DC=kingslanding,DC=net","Domain Controllers","S-1-5-21-740273710-242295789-2164128082-516","516","group","True","kingslanding","kingslanding.net"
"CN=Cert Publishers,CN=Users,DC=kingslanding,DC=net","Cert Publishers","S-1-5-21-740273710-242295789-2164128082-517","517","group","True","kingslanding","kingslanding.net"
"CN=Group Policy Creator Owners,CN=Users,DC=kingslanding,DC=net","Group Policy Creator Owners","S-1-5-21-740273710-242295789-2164128082-520","520","group","True","kingslanding","kingslanding.net"
"CN=Read-only Domain Controllers,CN=Users,DC=kingslanding,DC=net","Read-only Domain Controllers","S-1-5-21-740273710-242295789-2164128082-521","521","group","True","kingslanding","kingslanding.net"
"CN=Cloneable Domain Controllers,CN=Users,DC=kingslanding,DC=net","Cloneable Domain Controllers","S-1-5-21-740273710-242295789-2164128082-522","522","group","True","kingslanding","kingslanding.net"
"CN=Protected Users,CN=Users,DC=kingslanding,DC=net","Protected Users","S-1-5-21-740273710-242295789-2164128082-525","525","group","True","kingslanding","kingslanding.net"
"CN=Key Admins,CN=Users,DC=kingslanding,DC=net","Key Admins","S-1-5-21-740273710-242295789-2164128082-526","526","group","True","kingslanding","kingslanding.net"
"CN=RAS and IAS Servers,CN=Users,DC=kingslanding,DC=net","RAS and IAS Servers","S-1-5-21-740273710-242295789-2164128082-553","553","group","True","kingslanding","kingslanding.net"
"CN=Allowed RODC Password Replication Group,CN=Users,DC=kingslanding,DC=net","Allowed RODC Password Replication Group","S-1-5-21-740273710-242295789-2164128082-571","571","group","True","kingslanding","kingslanding.net"
"CN=Denied RODC Password Replication Group,CN=Users,DC=kingslanding,DC=net","Denied RODC Password Replication Group","S-1-5-21-740273710-242295789-2164128082-572","572","group","True","kingslanding","kingslanding.net"
"CN=Enterprise Read-only Domain Controllers,CN=Users,DC=kingslanding,DC=net","Enterprise Read-only Domain Controllers","S-1-5-21-740273710-242295789-2164128082-498","498","group","True","kingslanding","kingslanding.net"
"CN=Schema Admins,CN=Users,DC=kingslanding,DC=net","Schema Admins","S-1-5-21-740273710-242295789-2164128082-518","518","group","True","kingslanding","kingslanding.net"
"CN=Enterprise Admins,CN=Users,DC=kingslanding,DC=net","Enterprise Admins","S-1-5-21-740273710-242295789-2164128082-519","519","group","True","kingslanding","kingslanding.net"
"CN=Enterprise Key Admins,CN=Users,DC=kingslanding,DC=net","Enterprise Key Admins","S-1-5-21-740273710-242295789-2164128082-527","527","group","True","kingslanding","kingslanding.net"
"CN=devadmin,CN=Users,DC=kingslanding,DC=net","devadmin","S-1-5-21-740273710-242295789-2164128082-1000","1000","user","False","kingslanding","kingslanding.net"
