"DistinguishedName","Name","SID","RID","Type","IsBuiltin","DomainName","DomainFqdn"
"CN=Domain Computers,CN=Users,DC=encryptpotter,DC=net","Domain Computers","S-1-5-21-1092451709-2312608028-1547733439-515","515","group","True","encryptpotter","encryptpotter.net"
"CN=Domain Controllers,CN=Users,DC=encryptpotter,DC=net","Domain Controllers","S-1-5-21-1092451709-2312608028-1547733439-516","516","group","True","encryptpotter","encryptpotter.net"
"CN=Cert Publishers,CN=Users,DC=encryptpotter,DC=net","Cert Publishers","S-1-5-21-1092451709-2312608028-1547733439-517","517","group","True","encryptpotter","encryptpotter.net"
"CN=Group Policy Creator Owners,CN=Users,DC=encryptpotter,DC=net","Group Policy Creator Owners","S-1-5-21-1092451709-2312608028-1547733439-520","520","group","True","encryptpotter","encryptpotter.net"
"CN=Read-only Domain Controllers,CN=Users,DC=encryptpotter,DC=net","Read-only Domain Controllers","S-1-5-21-1092451709-2312608028-1547733439-521","521","group","True","encryptpotter","encryptpotter.net"
"CN=Cloneable Domain Controllers,CN=Users,DC=encryptpotter,DC=net","Cloneable Domain Controllers","S-1-5-21-1092451709-2312608028-1547733439-522","522","group","True","encryptpotter","encryptpotter.net"
"CN=Protected Users,CN=Users,DC=encryptpotter,DC=net","Protected Users","S-1-5-21-1092451709-2312608028-1547733439-525","525","group","True","encryptpotter","encryptpotter.net"
"CN=Key Admins,CN=Users,DC=encryptpotter,DC=net","Key Admins","S-1-5-21-1092451709-2312608028-1547733439-526","526","group","True","encryptpotter","encryptpotter.net"
"CN=RAS and IAS Servers,CN=Users,DC=encryptpotter,DC=net","RAS and IAS Servers","S-1-5-21-1092451709-2312608028-1547733439-553","553","group","True","encryptpotter","encryptpotter.net"
"CN=Allowed RODC Password Replication Group,CN=Users,DC=encryptpotter,DC=net","Allowed RODC Password Replication Group","S-1-5-21-1092451709-2312608028-1547733439-571","571","group","True","encryptpotter","encryptpotter.net"
"CN=Denied RODC Password Replication Group,CN=Users,DC=encryptpotter,DC=net","Denied RODC Password Replication Group","S-1-5-21-1092451709-2312608028-1547733439-572","572","group","True","encryptpotter","encryptpotter.net"
"CN=Enterprise Read-only Domain Controllers,CN=Users,DC=encryptpotter,DC=net","Enterprise Read-only Domain Controllers","S-1-5-21-1092451709-2312608028-1547733439-498","498","group","True","encryptpotter","encryptpotter.net"
"CN=Schema Admins,CN=Users,DC=encryptpotter,DC=net","Schema Admins","S-1-5-21-1092451709-2312608028-1547733439-518","518","group","True","encryptpotter","encryptpotter.net"
"CN=Enterprise Admins,CN=Users,DC=encryptpotter,DC=net","Enterprise Admins","S-1-5-21-1092451709-2312608028-1547733439-519","519","group","True","encryptpotter","encryptpotter.net"
"CN=Enterprise Key Admins,CN=Users,DC=encryptpotter,DC=net","Enterprise Key Admins","S-1-5-21-1092451709-2312608028-1547733439-527","527","group","True","encryptpotter","encryptpotter.net"
"CN=devadmin,CN=Users,DC=encryptpotter,DC=net","devadmin","S-1-5-21-1092451709-2312608028-1547733439-1000","1000","user","False","encryptpotter","encryptpotter.net"
