"DistinguishedName","Name","SID","RID","Type","IsBuiltin","DomainName","DomainFqdn"
"CN=IIS_IUSRS,CN=Builtin,DC=sonicbeats37,DC=fm","IIS_IUSRS","S-1-5-32-568","568","group","True","sonicbeats37","sonicbeats37.fm"
"CN=Cryptographic Operators,CN=Builtin,DC=sonicbeats37,DC=fm","Cryptographic Operators","S-1-5-32-569","569","group","True","sonicbeats37","sonicbeats37.fm"
"CN=Event Log Readers,CN=Builtin,DC=sonicbeats37,DC=fm","Event Log Readers","S-1-5-32-573","573","group","True","sonicbeats37","sonicbeats37.fm"
"CN=Certificate Service DCOM Access,CN=Builtin,DC=sonicbeats37,DC=fm","Certificate Service DCOM Access","S-1-5-32-574","574","group","True","sonicbeats37","sonicbeats37.fm"
"CN=RDS Remote Access Servers,CN=Builtin,DC=sonicbeats37,DC=fm","RDS Remote Access Servers","S-1-5-32-575","575","group","True","sonicbeats37","sonicbeats37.fm"
"CN=RDS Endpoint Servers,CN=Builtin,DC=sonicbeats37,DC=fm","RDS Endpoint Servers","S-1-5-32-576","576","group","True","sonicbeats37","sonicbeats37.fm"
"CN=RDS Management Servers,CN=Builtin,DC=sonicbeats37,DC=fm","RDS Management Servers","S-1-5-32-577","577","group","True","sonicbeats37","sonicbeats37.fm"
"CN=Hyper-V Administrators,CN=Builtin,DC=sonicbeats37,DC=fm","Hyper-V Administrators","S-1-5-32-578","578","group","True","sonicbeats37","sonicbeats37.fm"
"CN=Access Control Assistance Operators,CN=Builtin,DC=sonicbeats37,DC=fm","Access Control Assistance Operators","S-1-5-32-579","579","group","True","sonicbeats37","sonicbeats37.fm"
"CN=Remote Management Users,CN=Builtin,DC=sonicbeats37,DC=fm","Remote Management Users","S-1-5-32-580","580","group","True","sonicbeats37","sonicbeats37.fm"
"CN=Storage Replica Administrators,CN=Builtin,DC=sonicbeats37,DC=fm","Storage Replica Administrators","S-1-5-32-582","582","group","True","sonicbeats37","sonicbeats37.fm"
"CN=Administrator,CN=Users,DC=sonicbeats37,DC=fm","Administrator","S-1-5-21-4252664860-1081829637-3424278491-500","500","user","True","sonicbeats37","sonicbeats37.fm"
"CN=Guest,CN=Users,DC=sonicbeats37,DC=fm","Guest","S-1-5-21-4252664860-1081829637-3424278491-501","501","user","True","sonicbeats37","sonicbeats37.fm"
"CN=krbtgt,CN=Users,DC=sonicbeats37,DC=fm","krbtgt","S-1-5-21-4252664860-1081829637-3424278491-502","502","user","True","sonicbeats37","sonicbeats37.fm"
"CN=Domain Admins,CN=Users,DC=sonicbeats37,DC=fm","Domain Admins","S-1-5-21-4252664860-1081829637-3424278491-512","512","group","True","sonicbeats37","sonicbeats37.fm"
"CN=Domain Users,CN=Users,DC=sonicbeats37,DC=fm","Domain Users","S-1-5-21-4252664860-1081829637-3424278491-513","513","group","True","sonicbeats37","sonicbeats37.fm"
"CN=Domain Guests,CN=Users,DC=sonicbeats37,DC=fm","Domain Guests","S-1-5-21-4252664860-1081829637-3424278491-514","514","group","True","sonicbeats37","sonicbeats37.fm"
"CN=Domain Computers,CN=Users,DC=sonicbeats37,DC=fm","Domain Computers","S-1-5-21-4252664860-1081829637-3424278491-515","515","group","True","sonicbeats37","sonicbeats37.fm"
"CN=Domain Controllers,CN=Users,DC=sonicbeats37,DC=fm","Domain Controllers","S-1-5-21-4252664860-1081829637-3424278491-516","516","group","True","sonicbeats37","sonicbeats37.fm"
"CN=Cert Publishers,CN=Users,DC=sonicbeats37,DC=fm","Cert Publishers","S-1-5-21-4252664860-1081829637-3424278491-517","517","group","True","sonicbeats37","sonicbeats37.fm"
"CN=Group Policy Creator Owners,CN=Users,DC=sonicbeats37,DC=fm","Group Policy Creator Owners","S-1-5-21-4252664860-1081829637-3424278491-520","520","group","True","sonicbeats37","sonicbeats37.fm"
"CN=Read-only Domain Controllers,CN=Users,DC=sonicbeats37,DC=fm","Read-only Domain Controllers","S-1-5-21-4252664860-1081829637-3424278491-521","521","group","True","sonicbeats37","sonicbeats37.fm"
"CN=Cloneable Domain Controllers,CN=Users,DC=sonicbeats37,DC=fm","Cloneable Domain Controllers","S-1-5-21-4252664860-1081829637-3424278491-522","522","group","True","sonicbeats37","sonicbeats37.fm"
"CN=Protected Users,CN=Users,DC=sonicbeats37,DC=fm","Protected Users","S-1-5-21-4252664860-1081829637-3424278491-525","525","group","True","sonicbeats37","sonicbeats37.fm"
"CN=Key Admins,CN=Users,DC=sonicbeats37,DC=fm","Key Admins","S-1-5-21-4252664860-1081829637-3424278491-526","526","group","True","sonicbeats37","sonicbeats37.fm"
"CN=RAS and IAS Servers,CN=Users,DC=sonicbeats37,DC=fm","RAS and IAS Servers","S-1-5-21-4252664860-1081829637-3424278491-553","553","group","True","sonicbeats37","sonicbeats37.fm"
"CN=Allowed RODC Password Replication Group,CN=Users,DC=sonicbeats37,DC=fm","Allowed RODC Password Replication Group","S-1-5-21-4252664860-1081829637-3424278491-571","571","group","True","sonicbeats37","sonicbeats37.fm"
"CN=Denied RODC Password Replication Group,CN=Users,DC=sonicbeats37,DC=fm","Denied RODC Password Replication Group","S-1-5-21-4252664860-1081829637-3424278491-572","572","group","True","sonicbeats37","sonicbeats37.fm"
"CN=Enterprise Read-only Domain Controllers,CN=Users,DC=sonicbeats37,DC=fm","Enterprise Read-only Domain Controllers","S-1-5-21-4252664860-1081829637-3424278491-498","498","group","True","sonicbeats37","sonicbeats37.fm"
"CN=Schema Admins,CN=Users,DC=sonicbeats37,DC=fm","Schema Admins","S-1-5-21-4252664860-1081829637-3424278491-518","518","group","True","sonicbeats37","sonicbeats37.fm"
"CN=Enterprise Admins,CN=Users,DC=sonicbeats37,DC=fm","Enterprise Admins","S-1-5-21-4252664860-1081829637-3424278491-519","519","group","True","sonicbeats37","sonicbeats37.fm"
